Pe,St
55752.5,0.0058902167
54940.27,0.0059738997
53155.055,0.0064651864
51617.434,0.006706761
55647.72,0.0069972347
52571.438,0.007382567
50307.312,0.0075723454
52666.883,0.007944893
54334.74,0.007967517
55645.996,0.007833805
57937.582,0.0075944513
59444.48,0.0075731664
58362.68,0.0083360765
58362.137,0.008623342
60320.875,0.008647908
61436.832,0.008920804
63149.816,0.009228384
55541.5,0.009253704
56672.31,0.0099025965
53341.47,0.011896859
53146.953,0.01127546
50764.42,0.011930112
48668.46,0.011211329
46743.062,0.011963201
40883.492,0.0148251
42178.19,0.014867317
42567.332,0.014130722
41488.777,0.013544554
40289.594,0.012873173
42803.043,0.013130636
43997.67,0.012305291
41949.04,0.012201128
40735.89,0.012304675
38203.824,0.011628639
40143.42,0.011401441
40662.758,0.010745188
43041.156,0.0111158835
44895.605,0.011053596
45226.69,0.0105953
45979.855,0.010213576
50673.76,0.010071044
53638.043,0.0101858005
51992.496,0.009518282
49753.305,0.009762961
45728.562,0.0094372155
45981.598,0.008893979
42571.22,0.010126926
40292.12,0.010241576
41038.426,0.00976174
41114.586,0.0090708425
37442.57,0.009816432
35699.82,0.009095655
36494.71,0.008645086
37719.89,0.008380905
38629.555,0.008743594
40442.12,0.008596981
40442.684,0.008170999
40740.996,0.0077881175
39419.094,0.0070551727
40369.77,0.0073397383
48408.88,0.0063921954
44492.03,0.006630806
43763.17,0.0069175772
43923.344,0.00729881
43521.703,0.007744597
44900.227,0.007593194
46577.51,0.0077231023
46835.535,0.0071159806
49666.523,0.007076182
48052.117,0.007989406
48583.348,0.008264784
48850.973,0.008525518
49937.566,0.008794572
